annee,code,libelle,solde_net,asile_premieres,ratio_asile_sur_solde,note
2008,DE,Allemagne,-0.7,0.2599,,solde net ≤ 0 → ratio omis
2008,IT,Italie,7.2,0.5109,0.071,
2008,SE,Suède,6.0,2.6533,0.4422,
2008,NL,Pays-Bas,1.9,0.8156,0.4293,
2008,DK,Danemark,4.6,0.4337,0.0943,
2009,FR,France,0.5,0.6538,1.3076,
2009,DE,Allemagne,-0.1,0.3372,,solde net ≤ 0 → ratio omis
2009,IT,Italie,4.9,0.2927,0.0597,
2009,SE,Suède,6.7,2.5582,0.3818,
2009,NL,Pays-Bas,2.3,0.9026,0.3924,
2009,DK,Danemark,2.8,0.6849,0.2446,
2010,FR,France,0.6,0.7428,1.238,
2010,DE,Allemagne,1.6,0.5052,0.3157,
2010,IT,Italie,4.7,0.1684,0.0358,
2010,ES,Espagne,1.6,0.0549,0.0343,
2010,SE,Suède,5.3,3.412,0.6438,
2010,NL,Pays-Bas,2.0,0.8018,0.4009,
2010,DK,Danemark,3.0,0.9215,0.3072,
2011,FR,France,0.3,0.8024,2.6747,
2011,DE,Allemagne,3.7,0.5702,0.1541,
2011,IT,Italie,3.4,0.6728,0.1979,
2011,ES,Espagne,1.4,0.0637,0.0455,
2011,SE,Suède,4.8,3.1533,0.6569,
2011,NL,Pays-Bas,1.8,0.6941,0.3856,
2011,DK,Danemark,2.4,0.7166,0.2986,
2012,FR,France,1.1,0.8315,0.7559,
2012,DE,Allemagne,4.9,0.8035,0.164,
2012,IT,Italie,4.2,0.2859,0.0681,
2012,ES,Espagne,-3.0,0.0503,,solde net ≤ 0 → ratio omis
2012,SE,Suède,5.4,4.6326,0.8579,
2012,NL,Pays-Bas,0.8,0.5774,0.7218,
2012,DK,Danemark,3.0,1.0886,0.3629,
2013,FR,France,1.5,0.9219,0.6146,
2013,DE,Allemagne,5.6,1.3608,0.243,
2013,IT,Italie,2.6,0.4267,0.1641,
2013,ES,Espagne,-5.4,0.0918,,solde net ≤ 0 → ratio omis
2013,SE,Suède,6.9,5.1649,0.7485,
2013,NL,Pays-Bas,1.2,0.5849,0.4874,
2013,DK,Danemark,3.8,1.2905,0.3396,
2014,FR,France,0.5,0.8894,1.7788,
2014,DE,Allemagne,7.2,2.1428,0.2976,
2014,IT,Italie,0.8,1.0548,1.3185,
2014,ES,Espagne,-2.2,0.1174,,solde net ≤ 0 → ratio omis
2014,SE,Suède,7.9,7.7855,0.9855,
2014,NL,Pays-Bas,2.1,1.2942,0.6163,
2014,DK,Danemark,4.8,2.5883,0.5392,
2015,FR,France,-0.4,1.0619,,solde net ≤ 0 → ratio omis
2015,DE,Allemagne,14.3,5.4423,0.3806,
2015,IT,Italie,0.5,1.3731,2.7462,
2015,ES,Espagne,-0.1,0.3147,,solde net ≤ 0 → ratio omis
2015,SE,Suède,8.1,16.0243,1.9783,
