year,AT,BE,DE,DK,ES,FR,IT,NL,SE
2008,,1.0683,0.2599,0.4337,,,0.5109,0.8156,2.6533
2009,,1.6009,0.3372,0.6849,,0.6538,0.2927,0.9026,2.5582
2010,,2.0125,0.5052,0.9215,0.0549,0.7428,0.1684,0.8018,3.412
2011,,2.3258,0.5702,0.7166,0.0637,0.8024,0.6728,0.6941,3.1533
2012,,1.6658,0.8035,1.0886,0.0503,0.8315,0.2859,0.5774,4.6326
2013,,1.0846,1.3608,1.2905,0.0918,0.9219,0.4267,0.5849,5.1649
2014,3.0208,1.2638,2.1428,2.5883,0.1174,0.8894,1.0548,1.2942,7.7855
2015,9.9616,3.4764,5.4423,3.6848,0.3147,1.0619,1.3731,2.5463,16.0243
2016,4.5865,1.2634,8.7905,1.0636,0.3354,1.1523,2.0143,1.1358,2.2724
2017,2.5613,1.2381,2.4031,0.5462,0.7106,1.3765,2.107,0.942,2.2236
2018,1.316,1.5932,1.9559,0.6045,1.1308,1.8885,0.8916,1.1911,1.8463
2019,1.2428,2.02,1.7166,0.4556,2.4551,2.0551,0.5852,1.3042,2.0337
2020,1.5071,1.1222,1.2334,0.2464,1.8256,1.2114,0.3578,0.7882,1.1426
2021,4.235,1.6967,1.7826,0.345,1.3094,1.5327,0.763,1.4166,0.8724
2022,12.2286,2.7665,2.6163,0.767,2.4459,2.0209,1.3078,2.0198,1.2638
2023,6.1682,2.4956,3.9596,0.4012,3.3372,2.126,2.2131,2.1543,0.8516
2024,2.4299,2.768,2.7529,0.3707,3.4033,1.8918,2.5626,1.7834,0.6426
