year,DK,FR,FX,IT,UK
2005,1.2,3,3.1,4.4,4.4365
2006,1.9,1.8,1.9,3.8,4.3715
2007,3.7,1.2,1.2,8.5,4.47
2008,4.6,0.9,1.1,7.2,3.7192
2009,2.8,0.5,0.7,4.9,3.691
2010,3,0.6,0.7,4.7,4.0953
2011,2.4,0.3,0.8,3.4,3.2528
2012,3,1.1,1.4,4.2,3.0711
2013,3.8,1.5,,2.6,3.8181
2014,4.8,0.5,,0.8,4.4133
2015,7.4,-0.4,,0.5,4.6721
2016,5.7,-0.3,,0.7,3.8086
2017,4.2,0.8,,1,3.159
2018,3.2,1.7,,1.2,4.1646
2019,1.6,0.6,,0.7,2.7608
2020,1.9,2.8,,-1.2,1.3875
2021,4.6,2.2,,1.6,6.9674
2022,10.2,2,,4.9,13.1799
2023,5,2.2,,4.5,12.4221
2024,5.3,2.2,,4.1,4.9797
