year,DE,DK,ES,FR,FX,IT,NL,SE,UK
2005,1,1.2,14.5,3,3.1,4.4,-1.4,3,4.4365
2006,0.3,1.9,14.9,1.8,1.9,3.8,-1.6,5.6,4.3715
2007,0.5,3.7,17.2,1.2,1.2,8.5,-0.1,5.9,4.47
2008,-0.7,4.6,9.5,0.9,1.1,7.2,1.9,6,3.7192
2009,-0.1,2.8,3,0.5,0.7,4.9,2.3,6.7,3.691
2010,1.6,3,1.6,0.6,0.7,4.7,2,5.3,4.0953
2011,3.7,2.4,1.4,0.3,0.8,3.4,1.8,4.8,3.2528
2012,4.9,3,-3,1.1,1.4,4.2,0.8,5.4,3.0711
2013,5.6,3.8,-5.4,1.5,,2.6,1.2,6.9,3.8181
2014,7.2,4.8,-2.2,0.5,,0.8,2.1,7.9,4.4133
2015,14.3,7.4,-0.1,-0.4,,0.5,3.2,8.1,4.6721
2016,5.6,5.7,1.7,-0.3,,0.7,4.6,11.9,3.8086
2017,5.1,4.2,3.8,0.8,,1,4.7,10.1,3.159
2018,4.8,3.2,7,1.7,,1.2,5,8.5,4.1646
2019,3.7,1.6,9.7,0.6,,0.7,6.2,7,2.7608
2020,2.4,1.9,5,2.8,,-1.2,3.9,3.5,1.3875
2021,3.7,4.6,4.2,2.2,,1.6,6.1,4.9,6.9674
2022,2.5,10.2,15.3,2,,4.9,12.6,5.6,13.1799
2023,8.1,5,13.4,2.2,,4.5,7.6,2.3,12.4221
2024,5.4,5.3,11.8,2.2,,4.1,6,2.7,4.9797
