year,entrees_k,sorties_k,solde_k,pop_k,taux_permil,estimated
2006,234,71,163,63586,2.56,False
2007,230,91,139,63790,2.18,False
2008,235,95,140,64007,2.19,False
2009,238,106,132,64320,2.05,False
2010,251,109,142,64658,2.2,False
2011,255,96,159,65028,2.45,False
2012,278,104,174,65350,2.66,False
2013,277,92,185,65633,2.82,False
2014,259,65,194,65958,2.94,False
2015,278,94,185,66549,2.78,False
2016,287,66,222,66989,3.31,False
2017,291,93,198,67201,2.95,False
2018,305,83,222,67525,3.29,False
2019,307,125,182,67749,2.69,False
2020,246,94,152,67897,2.24,False
2021,283,123,159,68102,2.33,False
2022,375,94,281,68042,4.13,True
2023,347,94,253,68172,3.71,True
